"","Nation","Fully","Highly","Incompatible","Lightly","Minimally","Unclassified","overlap_prop_all","overlap_prop_strong","overlap_prop_weak"
"1","Belgium",0.00382971013322162,0,20.1773979048647,0.108377706816266,17.0627187593025,0.0250701585220573,37.3773942396387,0.00382971013322162,37.3484943709834
"2","United Kingdom",0,0.136078446656977,21.0798731069975,0.943025991453766,21.352957435189,0.000568490687419782,43.5125034709847,0.136078446656977,43.3758565336403
"3","Bulgaria",0,0,0,0,8.08995453508929,0.00029184848888736,8.09024638357818,0,8.08995453508929
"4","Croatia",0.0768911232064128,0,1.35145461900147,0.0380943726632748,7.63571516877664,0.0736162684710895,9.17577155211889,0.0768911232064128,9.02526416044138
"5","Cyprus",0.000104567359710398,0.00588490791450019,0,0,0.00934566564904419,8.57710179579184,8.5924369367151,0.00598947527421059,0.00934566564904419
"6","Kingdom of Denmark",0,8.12187924465988e-07,1.54177489948957,2.17653263780754,1.46333312904611,0.103761802146289,5.28540328067743,8.12187924465988e-07,5.18164066634322
"7","Netherlands",0,0.0194079159954103,24.7995278999736,0.485715801156775,0.00623480591675382,0.0704980743225057,25.3813844973651,0.0194079159954103,25.2914785070471
"8","Estonia",0.0391333270056416,0.804585590197826,0,11.7082783184639,4.62437761446045,0.745262222547241,17.9216370726751,0.843718917203468,16.3326559329244
"9","Finland",0.182709713235384,0.117170400698617,0.00150223859704159,5.53489211484383,4.84947239396609,0.228254383022234,10.9140012443632,0.299880113934001,10.385866747407
"10","France",0.0176279500391856,0.511569388915367,2.36893665175996,3.56448151388042,38.4777252455901,2.78481025728883,47.7251510074739,0.529197338954552,44.4111434112305
"11","Germany",0.021128886394879,0.583335354354737,34.6959357278571,4.5158836455083,4.99973073317036,0.0109916521241172,44.8270059994095,0.604464240749616,44.2115501065358
"12","Greece",0.0163454838431957,0,0.297104156444619,2.1853507121985,2.09457341784668,0.0099995635328699,4.60337333386586,0.0163454838431957,4.5770282864898
"13","Iceland",0,0,0,0,0,0.436198863639023,0.436198863639023,0,0
"14","Ireland",0,0.169516006246667,0.512270547404783,0.298843645067709,1.07946052059164,0.276689752746025,2.33678047205683,0.169516006246667,1.89057471306414
"15","Italy",0.093630226106106,0.299868115403623,0.139133390385643,1.68989565923463,8.07345715502726,0.31151879438268,10.6075033405399,0.393498341509729,9.90248620464754
"16","Latvia",0,0,0,1.43244325432423,14.3378266814285,0.000368589097023466,15.7706385248497,0,15.7702699357527
"17","Lithuania",0,0,0,13.3767882003476,9.03117836998214,1.2069916602883e-07,22.4079666910289,0,22.4079665703297
"18","Malta",1.8167208229363e-05,0.0244522600757437,0.406779358593565,0,6.79460299617928,0.583370512021995,7.80922329407881,0.0244704272839731,7.20138235477284
"19","Norway",0.00280464736808516,0,2.78820238228181,0.868598473122955,0.642608265886489,0,4.30221376865934,0.00280464736808516,4.29940912129126
"20","Poland",7.82616833576497e-05,0.3908256020879,11.5870031660296,7.64825108799439,1.3186117630132,2.64552055183594,23.5902904326443,0.390903863771257,20.5538660170372
"21","Portugal",0.00689601031783737,0.0588936965814809,0.000386798407334396,0.416604369902795,1.94307649173448,2.01093083420513,4.43678820114906,0.0657897068993183,2.36006766004461
"22","Romania",0,0,7.17264766734348,9.07030184121665,4.69812218115066,0.000735985144170877,20.941807674855,0,20.9410716897108
"23","Slovenia",0.695406938414191,1.51979214356573e-06,0,0.667699435242291,3.3324400852233,8.99478308937061e-06,4.69555697345501,0.695408458206334,4.00013952046559
"24","Spain",0.000129354754716367,0.0271635349435323,5.73375194067646,1.63660278585567,3.91307562702747,1.78557017672521,13.0962934199831,0.0272928896982487,11.2834303535596
"25","Sweden",0.0749602826868208,0.679208430405204,7.50733665464928,2.02134567780985,3.99753020742309,1.29559037896687,15.5759716319411,0.754168713092025,13.5262125398822
